10.708844853647001, 14.217570415226662, -7.317595114238784, 
10.599046333599729, 14.39797274146934, -7.496779051554345, 
10.56751388491835, 15.373529340178528, -7.3185899358187, 
10.649789570168723, 15.157637826021054, -7.296889690396644, 
10.585275573588106, 15.006203597256441, -7.411918786948468, 
10.568435094081256, 14.900069797898054, -7.459834133417692, 
10.456916068665395, 13.502102855191799, -7.288495263233507, 
10.562042270821642, 13.371436579163163, -7.109471965775256, 
10.562183046466247, 13.751327525516533, -7.298343632021952, 
10.595316655712226, 13.477917260628855, -7.130416607475427, 
10.487682837285416, 13.128824345904249, -7.042252551640787, 
10.481494637870451, 12.72087687085035, -6.780357643362795, 
10.59516969105365, 14.594222710102072, -7.492635209014381, 
10.532982623393128, 14.019162865875938, -7.465432158010671, 
8.990853779358481, 7.672691300460789, -4.334485985450048, 
9.256438786574634, 9.00070063833796, -5.099137085200484, 
9.944350677933404, 10.732086255901525, -5.82250905471515, 
8.474723877106259, 6.220598079986814, -3.6313639968860505, 
9.560557696161345, 17.704558824254214, -6.636400908141377, 
8.861464480805939, 18.370597924056938, -6.1607303317911235, 
9.746297934889808, 16.751553116101245, -7.3431939576466645, 
10.28720825498888, 11.999242187189797, -6.44756628748295, 
10.36139996791906, 15.451648670233054, -7.492439697823258, 
9.131337551425187, 8.201910323450202, -4.615591094054698, 
9.420316284609909, 10.506701884834154, -6.05017185452969, 
9.629877674618271, 9.932283131424475, -5.493603108538783, 
8.818790604893396, 7.127028586011473, -4.064571844188053, 
8.59491716876915, 5.355102201434615, -3.0032854661044492, 
9.13656068366677, 18.61672231857426, -5.469361702670402, 
8.860783886033422, 18.807331734457485, -5.263347490938139,
9.230510421883855, 18.044059817761216, -6.440637277522087, 
9.985613396291082, 11.876974791182786, -6.6102294455440465, 
10.157174297647185, 11.425409650227763, -6.145974590620788, 
9.750665353179631, 11.256441083207855, -6.347305405321384, 
10.161906196874897, 16.68513020589398, -7.055655704473429, 
10.373439557885387, 15.89335242942441, -7.304611672199839, 
10.282516079817164, 16.263101598755576, -7.204650031716, 
9.636162240968634, 17.285770724619784, -7.014064134875453
